ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
0	TCGA-ER-A3ET-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
1	TCGA-FR-A69P-06A-21D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
2	TCGA-ER-A2ND-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
3	TCGA-ER-A2NH-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
4	TCGA-FS-A4F9-06A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
5	TCGA-EE-A20B-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
6	TCGA-EB-A44Q-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
7	TCGA-D9-A148-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
8	TCGA-ER-A2NB-01A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
9	TCGA-EE-A182-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
10	TCGA-EE-A2A5-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
11	TCGA-EE-A2MM-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
12	TCGA-EB-A5SF-01A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
13	TCGA-D9-A6E9-06A-12D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
14	TCGA-EE-A2GL-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
15	TCGA-EE-A2MT-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
16	TCGA-D3-A3CC-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
17	TCGA-D3-A3C3-06A-12D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
18	TCGA-D3-A51T-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
19	TCGA-FR-A3YO-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
20	TCGA-ER-A19W-06A-41D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
21	TCGA-EB-A3Y6-01A-21D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
22	TCGA-FS-A1YX-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
23	TCGA-EE-A29G-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
24	TCGA-D3-A5GT-01A-12D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
25	TCGA-ER-A2NF-01A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
26	TCGA-EB-A42Z-01A-12D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
27	TCGA-EE-A29B-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
28	TCGA-EE-A2GO-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
29	TCGA-FS-A1ZR-06A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
30	TCGA-EE-A3JD-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
31	TCGA-GN-A26D-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
32	TCGA-D3-A51E-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
33	TCGA-D3-A2JK-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
